,artistName,areas
0,The Afghan Whigs,United States
1,The Temper Trap,Australia
2,The Waterboys,United Kingdom
3,Crystal Castles,Canada
4,Morcheeba,United Kingdom
5,Gary Numan,United Kingdom
6,Air,France
7,The Cure,United Kingdom
8,Unknown Mortal Orchestra,United States
9,Two Door Cinema Club,United Kingdom
10,The Snuts,United Kingdom
11,Alfie Templeman,United Kingdom
12,Richard Ashcroft,United Kingdom
13,Caro Emerald,Netherlands
14,Gaz Coombes,United Kingdom
15,Noel Gallagher's High Flying Birds,United Kingdom
16,Crystal Fighters,United Kingdom
17,The Dandy Warhols,United States
18,Two Wounded Birds,United Kingdom
19,Gorillaz,United Kingdom
20,Mumford & Sons,United Kingdom
21,Gang of Youths,Australia
22,Voka Gentle,United Kingdom
23,Blondie,United States
24,Franz Ferdinand,United Kingdom
25,The War On Drugs,United States
26,VANO 3000,United States
27,Mansionair,Australia
28,Living Colour,United States
29,Steven Wilson,United Kingdom
30,Beach House,United States
31,Fall Out Boy,United States
32,Tesla Boy,Russia
33,Oasis,United Kingdom
34,Glass Animals,United Kingdom
35,Foo Fighters,United States
36,Queens of the Stone Age,United States
37,George Michael,United Kingdom
38,Arctic Monkeys,United Kingdom
39,Pulp,United Kingdom
40,Bloc Party,United Kingdom
41,Interpol,United States
42,Doves,United Kingdom
43,Empire Of The Sun,Australia
44,SUN SILVA,United Kingdom
45,Paul Weller,United Kingdom
46,Raury,United States
47,Collective Soul,United States
48,The National,United States
49,Grimes,Canada
50,beabadoobee,United Kingdom
51,Jake Bugg,United Kingdom
52,Talk Talk,United Kingdom
53,Bryan Adams,Canada
54,Orchestral Manoeuvres In The Dark,United Kingdom
55,A Flock of Seagulls - Tribute,United Kingdom
56,Skids,United Kingdom
57,Matthew Wilder,United States
58,Pretenders,United Kingdom
59,Godley & Creme,United Kingdom
60,Q Lazzarus,United States
61,Pat Benatar,United States
62,The Smiths,United Kingdom
63,Rod Stewart,United Kingdom
64,Europe,Sweden
65,The Who,United Kingdom
66,Clan of Xymox,Netherlands
67,Eurythmics,United Kingdom
68,Dick Dale,United States
69,Jesse Green,Jamaica
70,Echo & the Bunnymen,United Kingdom
71,George Harrison,United Kingdom
72,Elton John,United Kingdom
73,The Rolling Stones,United Kingdom
74,Oingo Boingo,United States
75,Night Ranger,United States
76,Queen,United Kingdom
77,Lionel Richie,United States
78,Whitney Houston,United States
79,Iggy Pop,United States
80,The Psychedelic Furs,United Kingdom
81,The Police,United Kingdom
82,Cyndi Lauper,United States
83,KISS,United States
84,Rick James,United States
85,Murray Head,United Kingdom
86,Santana,United States
87,Whitesnake,United Kingdom
88,Soft Cell,United Kingdom
89,Grace Slick,United States
90,Daryl Hall & John Oates,United States
91,Blue Öyster Cult,United States
92,Twisted Sister,United States
93,Creedence Clearwater Revival,United States
94,Pink Floyd,United Kingdom
95,Carl Douglas,Jamaica
96,Roxy Music,United Kingdom
97,Fleetwood Mac,United Kingdom
98,Journey,United States
99,Stevie Wonder,United States
100,Jan Hammer,United States
101,INXS,Australia
102,Billy Idol,United Kingdom
103,David Bowie,United Kingdom
104,Aretha Franklin,United States
105,Depeche Mode,United Kingdom
106,Thy Catafalque,Hungary
107,Æther Realm,United States
108,Tristania,Norway
109,Slayer,United States
110,Fleshgod Apocalypse,Italy
111,Mors Principium Est,Finland
112,Helloween,Germany
113,Amon Amarth,Sweden
114,Fallujah,United States
115,After The Burial,United States
116,Dark Tranquillity,Sweden
117,Death Angel,United States
118,CHTHONIC,Taiwan
119,Motörhead,United Kingdom
120,Archspire,Canada
121,Veil Of Maya,United States
122,Vorna,Finland
123,Dark Moor,Spain
124,Iron Maiden,United Kingdom
125,Moonspell,Portugal
126,Cannibal Corpse,United States
127,Megadeth,United States
128,Shade Empire,Finland
129,Madcon,Norway
130,Lindemann,Germany
131,Mechina,United States
132,John 5,United States
133,Finsterforst,Germany
134,Arcturus,Norway
135,Tame Impala,Australia
136,Technicolor Fabrics,Mexico
137,Night Riots,United States
138,Muse,United Kingdom
139,Garbage,United States
140,Molotov,Mexico
141,The Black Keys,United States
142,Molchat Doma,Belarus
143,Supergrass,United Kingdom
144,Nancy Sinatra,United States
145,The Damned,United Kingdom
146,Genesis,United Kingdom
147,The Clash,United Kingdom
148,Dire Straits,United Kingdom
149,Peter Murphy,United Kingdom
150,Sabrina,Philippines
151,Village People,United States
152,Aerosmith,United States
153,Midnight Oil,Australia
154,Ultravox,United Kingdom
155,TOTO,United States
156,Gibson Brothers,France
157,a-ha,Norway
158,The Beatles,United Kingdom
159,Jim Steinman,United States
160,Modern Talking,Germany
161,Wham!,United Kingdom
162,Hawkwind,United Kingdom
163,Madonna,United States
164,New Order,United Kingdom
165,Paul Engemann,United States
166,Eric Carmen,United States
167,Wolf Alice,United Kingdom
168,The Weeknd,Canada
169,James Bay,United Kingdom
170,Liam Gallagher,United Kingdom
171,The Kooks,United Kingdom
172,MNKYBSNSS,Colombia
173,Tseba,Australia
174,Chris Cornell,United States
175,Soviet Soviet,Italy
176,Twenty One Pilots,United States
177,The Killers,United States
178,SAFIA,Australia
179,A Flock Of Seagulls,United Kingdom
180,The Stone Roses,United Kingdom
181,Loverboy,Canada
182,Peter Schilling,Germany
183,Kool & The Gang,United States
184,Philip Bailey,United States
185,ZZ Top,United States
186,Sumo,Argentina
187,Goombay Dance Band,Germany
188,Laura Branigan,United States
189,Men At Work,Australia
190,The Human League,United Kingdom
191,Yes,United Kingdom
192,Buffalo Springfield,United States
193,Kings of Leon,United States
194,HAIM,United States
195,The Vines,Australia
196,The Strokes,United States
197,Cage The Elephant,United States
198,The White Stripes,United States
199,Foals,United Kingdom
200,Metric,Canada
201,Kasabian,United Kingdom
202,The Bravery,United States
203,Phoenix,United Kingdom
204,The Libertines,United Kingdom
205,Courteeners,United Kingdom
206,Black Rebel Motorcycle Club,United States
207,Vampire Weekend,United States
208,The Raconteurs,United States
209,Miles Kane,United Kingdom
210,Hot Hot Heat,Canada
211,Yeah Yeah Yeahs,United States
212,Razorlight,United Kingdom
213,The Walkmen,United States
214,The Subways,United Kingdom
215,The Fratellis,United Kingdom
216,The Vaccines,United Kingdom
217,The Cribs,United Kingdom
218,Silversun Pickups,United States
219,Dirty Pretty Things,United Kingdom
220,Editors,United Kingdom
221,OK Go,United States
222,Babyshambles,United Kingdom
223,The Futureheads,United Kingdom
224,Circa Waves,United Kingdom
225,The Wombats,United Kingdom
226,Band Of Skulls,United Kingdom
227,Band of Horses,United States
228,Ghinzu,Belgium
229,Kaiser Chiefs,United Kingdom
230,Maximo Park,United Kingdom
231,The Last Shadow Puppets,United Kingdom
232,Blood Red Shoes,United Kingdom
233,Cold War Kids,United States
234,Pixies,United States
235,Modest Mouse,United States
236,The Hives,Sweden
237,Jet,Australia
238,We Are Scientists,United States
239,The View,United Kingdom
240,Beck,United States
241,PATRIARKH,Poland
242,Dawn of Disease,Germany
243,Akhlys,United States
244,Anaal Nathrakh,United Kingdom
245,Children Of Bodom,Finland
246,Belzebubs,Finland
247,Reverend And The Makers,United Kingdom
248,Amy Winehouse,United Kingdom
249,The Sherlocks,United Kingdom
250,Leon Bridges,United States
251,Pearl Jam,United States
252,The Mission,United Kingdom
253,KALEO,Iceland
254,The Avalanches,Australia
255,Zoé,Mexico
256,Lights On,United States
257,STRFKR,United States
258,Nothing But Thieves,United Kingdom
259,No Te Va Gustar,Uruguay
260,Paramore,United States
261,Monaco,United Kingdom
262,Arcade Fire,Canada
263,The Maccabees,United Kingdom
264,Sam Fender,United Kingdom
265,Usted Señalemelo,Argentina
266,Animal Collective,United States
267,Sia,Australia
268,SALES,United States
269,BØRNS,United States
270,The Moth & The Flame,United States
271,Lazerhawk,United States
272,Aaron Smith,United States
273,Paolo Nutini,United Kingdom
274,Chris de Burgh,United Kingdom
275,Go West,United Kingdom
276,The Cult,United Kingdom
277,Phil Collins,United Kingdom
278,Foreigner,United States
279,Eagles,United States
280,Little Simz,United Kingdom
281,The Smashing Pumpkins,United States
282,Florence + The Machine,United Kingdom
283,Nico Sorin,Argentina
284,ZHU,United States
285,Bugzy Malone,United Kingdom
286,Ben Howard,United Kingdom
287,A$AP Rocky,United States
288,Jungle,United Kingdom
289,Mötley Crüe,United States
290,Corey Hart,Canada
291,Gene Loves Jezebel,United Kingdom
292,Dead Or Alive,United Kingdom
293,Status Quo,United Kingdom
294,U2,Ireland
295,Ween,United States
296,Herman's Hermits,United Kingdom
297,Generation X,United Kingdom
298,She Wants Revenge,United States
299,Chicago,United States
300,Nada Surf,United States
301,Neil Diamond,United States
302,Suede,United Kingdom
303,Ten Years After,United Kingdom
304,Crazy Town,United States
305,Tori Amos,United States
306,Jeff Beck,United Kingdom
307,Stealers Wheel,United Kingdom
308,Klaxons,United Kingdom
309,David Hasselhoff,United States
310,Julian Lennon,United Kingdom
311,Boston,United States
312,Sepultura,Brazil
313,Roy Orbison,United States
314,Bachman-Turner Overdrive,Canada
315,The Coral,United Kingdom
316,Frank Zappa,United States
317,John Parr,United Kingdom
318,The Archies,United States
319,Soul Extract,China
320,CANTERVICE,United States
321,Celldweller,United States
