artistName,msPlayed,areas
3 Doors Down,145193,United States
49 Winchester,180588,United States
86TVs,167770,United Kingdom
A Flock Of Seagulls,13527325,United Kingdom
A Flock of Seagulls - Tribute,5034125,United Kingdom
A$AP Rocky,1430422,United States
ABBA,13008463,Sweden
Aaron Smith,2464835,United States
Aaron Y Su Grupo Ilusion,222761,Mexico
Abominable Putridity,1670,Russia
Ace,1630,Japan
Adam Ant,151978,United Kingdom
Adele,285237,United Kingdom
Aerosmith,4515879,United States
After The Burial,308222,United States
Air,2690665,France
Akhlys,5376868,United States
Al Green,755211,United States
Alabama,190810,United States
Alan Jackson,148171,United States
Alejandro Fernández,1304789,Mexico
Alfie Templeman,2389509,United Kingdom
Alice Cooper,6322018,United States
All Saints,268747,United Kingdom
Allegaeon,773958,United States
Alluvial,87308,United States
America,4833385,United States
Amii Stewart,248727,United States
Amon Amarth,11426149,Sweden
Amy Winehouse,4708283,United Kingdom
Ana Gabriel,878640,Mexico
Anaal Nathrakh,1413580,United Kingdom
Andromida,473834,United States
Animal Collective,1951403,United States
Animotion,4815160,United States
Anthrax,2432300,United States
Antonio Aguilar,383510,Mexico
Aphyxion,251223,Denmark
Arcade Fire,4048317,Canada
Archspire,5974954,Canada
Arctic Monkeys,18110172,United Kingdom
Arcturus,497075,Norway
Aretha Franklin,4111965,United States
Arkona,372635,Poland
Armando Hernandez,287459,Colombia
Average White Band,2013217,United Kingdom
Azurenity,136151,Unknown
Babybird,136366,United Kingdom
Babyshambles,150292,United Kingdom
Bachman-Turner Overdrive,238226,Canada
Baltimora,3908004,Italy
Bamboleo,17080,Cuba
Band Of Skulls,197974,United Kingdom
Band of Horses,322131,United States
Banda MS de Sergio Lizárraga,1957388,Mexico
Barry White,564662,United States
Bayonne,240783,United States
Beach House,5165133,United States
Beck,437346,United States
Bee Gees,5330780,United Kingdom
Behemoth,445301,Poland
Belzebubs,5344253,Finland
Ben Howard,3968883,United Kingdom
Berlin,4184659,United States
Beyoncé,131957,United States
Beyond Unbroken,200827,United States
Bhavi,106576,Argentina
Bill Withers,125212,United States
Billie Eilish,1354558,United States
Billie Holiday,192855,United States
Billy Idol,9409078,United Kingdom
Billy Joel,290560,United States
Billy Ray Cyrus,610088,United States
Billy Squier,65249,United States
Black Rebel Motorcycle Club,225301,United States
Black Strobe,273546,France
Bleed From Within,285493,United Kingdom
Blind Guardian,2236339,Germany
Bloc Party,6836110,United Kingdom
Blondie,20547266,United States
Blood Red Shoes,176119,United Kingdom
Blossoms,166746,United Kingdom
Blue Stahli,265399,United States
Blue Öyster Cult,11283498,United States
Bob Dylan,808112,United States
Bob Moses,2955693,Canada
Bomba Estéreo,436683,Colombia
Boney M.,2495160,Germany
Bonnie Tyler,3249699,United Kingdom
Borknagar,1070228,Norway
Boston,303550,United States
Boy George,186990,United Kingdom
Bran Van 3000,41283,Canada
Brandon Flowers,63547,United States
Brent Cobb,212455,United States
Bronco,353395,Mexico
Bryan Adams,8434699,Canada
Brymir,521041,Finland
Buddy Holly,109105,United States
Buffalo Springfield,2612628,United States
Bugzy Malone,3538872,United Kingdom
Buzzcocks,163664,United Kingdom
BØRNS,1964794,United States
C.W. McCall,230616,United States
CANTERVICE,460439,United States
CHTHONIC,9064311,Taiwan
Cage The Elephant,2746936,United States
Calibre 50,511267,Mexico
Calle 24,191461,Mexico
Camilo Sesto,1461856,Spain
Camouflage,3991825,Germany
Cannibal Corpse,1882597,United States
Carin Leon,186457,Mexico
Carl Douglas,3364503,Jamaica
Carlos Rivera,185077,Mexico
Caro Emerald,1603535,Netherlands
Carole King,233181,United States
Carpenters,452452,United States
Cass Elliot,139495,United States
Cat Power,202548,United States
Catamenia,597347,Finland
Cattle Decapitation,1819221,United States
Celldweller,788550,United States
Charles Bradley,343002,United States
Charlie Zaa,340001,Colombia
Chavela Vargas,204628,Mexico
ChiChi Peralta,271023,Dominican Republic
Chicago,289760,United States
Chico Trujillo,187746,Chile
Chicos de Barrio,179018,Mexico
Children Of Bodom,2599899,Finland
Chris Cornell,3121534,United States
Chris Stapleton,493521,United States
Chris de Burgh,6130984,United Kingdom
Christian Nodal,2933435,Mexico
Christopher Cross,59480,United States
Circa Waves,192079,United Kingdom
Clan of Xymox,7508701,Netherlands
Climax Blues Band,198946,United Kingdom
Cognizance,122331,United Kingdom
Cold War Kids,218762,United States
Colin Hay,2421111,Australia
Collective Soul,3576278,United States
Colter Wall,947295,Canada
Coping Method,520034,United States
Corey Hart,4339411,Canada
Courteeners,243935,United Kingdom
Crazy Town,216701,United States
Creedence Clearwater Revival,5313872,United States
Cryptopsy,777521,Canada
Crystal Castles,1828955,Canada
Crystal Fighters,2371637,United Kingdom
Cult Of Luna,401240,Sweden
Culture Club,7095819,United Kingdom
Cutting Crew,5047314,United Kingdom
Cyndi Lauper,5223154,United States
D-A-D,5264620,Denmark
DMA'S,2238327,Australia
Daddy Yankee,27494,Puerto Rico
Daedric,460076,United States
Dagoba,294080,France
Dan Hartman,6122037,United States
Daniel Lanois,248061,Canada
Danzig,2415805,United States
Dark Moor,1388762,Spain
Dark Oath,3407025,Portugal
Dark Tranquillity,10867045,Sweden
Daryl Hall & John Oates,5190030,United States
David Bowie,19635799,United Kingdom
David Hasselhoff,220144,United States
David Rawlings,175972,United States
Dawn of Disease,931548,Germany
Deacon Blue,257816,United Kingdom
Dead Or Alive,3909834,United Kingdom
Dead Shape Figure,334959,Finland
Death Angel,595593,United States
Declan McKenna,3292387,United Kingdom
Def Leppard,6660923,United Kingdom
Del Shannon,137277,United States
Demonaz,279612,Norway
Depeche Mode,17567135,United Kingdom
Dick Dale,1631684,United States
Diego Verdaguer,484497,Mexico
Digitalism,4271733,Germany
Dion,5969,Canada
Dire Straits,18287758,United Kingdom
Dirty Pretty Things,212170,United Kingdom
Disturbed,2745,United States
Divinyls,50445,Australia
Djo,796549,United States
Dolly Parton,1253834,United States
Don Henley,2316559,United States
Donna Summer,5313937,United States
Donovan,227239,United Kingdom
Doves,9693861,United Kingdom
DragonForce,1669333,United Kingdom
Dragonland,2063420,Sweden
Dschinghis Khan,4899135,Germany
Duelo,192764,United States
Eagles,7487168,United States
"Earth, Wind & Fire",9051315,United States
Echo & the Bunnymen,5525170,United Kingdom
Ed Sheeran,2942109,United Kingdom
Eddie Money,6069016,United States
Eddie Murphy,253274,United States
Eddie Rabbitt,392392,United States
Eddie Vedder,236314,United States
Editors,4108258,United Kingdom
Eels,190815,United States
El Búho,312923,France
El Chapo De Sinaloa,335781,Mexico
El Fantasma,142061,Mexico
El Super Show De Los Vaskez,266163,Mexico
Electric Light Orchestra,243343,United Kingdom
