artistName,endTime,trackName,msPlayed
Queen,198,198,198
Fleshgod Apocalypse,145,145,145
Talk Talk,100,100,100
Arctic Monkeys,98,98,98
George Harrison,82,82,82
Blondie,82,82,82
Noel Gallagher's High Flying Birds,78,78,78
Helloween,77,77,77
Pink Floyd,77,77,77
Depeche Mode,71,71,71
The Killers,68,68,68
Pulp,66,66,66
Tears For Fears,64,64,64
Europe,62,62,62
Amon Amarth,62,62,62
David Bowie,62,62,62
Empire Of The Sun,61,61,61
Heart,60,60,60
Fleetwood Mac,59,59,59
The Beatles,58,58,58
The Smiths,56,56,56
Two Door Cinema Club,55,55,55
A Flock Of Seagulls,54,54,54
ABBA,51,51,51
Dark Tranquillity,50,50,50
The Clash,50,50,50
Mumford & Sons,50,50,50
Elton John,50,50,50
The Police,49,49,49
Kasabian,49,49,49
Nelson Ned,48,48,48
The Psychedelic Furs,47,47,47
Dire Straits,46,46,46
Rod Stewart,46,46,46
U2,46,46,46
The Stone Roses,44,44,44
Iron Maiden,42,42,42
Kings of Leon,41,41,41
a-ha,41,41,41
Twisted Sister,41,41,41
Whitney Houston,41,41,41
The Cult,40,40,40
CHTHONIC,40,40,40
Doves,39,39,39
Eurythmics,39,39,39
Mors Principium Est,39,39,39
Stevie Wonder,38,38,38
Men At Work,38,38,38
Creedence Clearwater Revival,38,38,38
Kool & The Gang,38,38,38
INXS,38,38,38
Billy Idol,37,37,37
Franz Ferdinand,36,36,36
Phil Collins,35,35,35
Bloc Party,35,35,35
Laura Branigan,35,35,35
Interpol,35,35,35
Raury,34,34,34
"Earth, Wind & Fire",33,33,33
Midnight Oil,33,33,33
New Order,33,33,33
Blue Öyster Cult,33,33,33
The Who,33,33,33
George Michael,33,33,33
Thy Catafalque,32,32,32
The Cure,32,32,32
TOTO,31,31,31
Steven Wilson,31,31,31
Genesis,31,31,31
Slayer,31,31,31
Oasis,30,30,30
Twenty One Pilots,29,29,29
Pearl Jam,29,29,29
Tame Impala,29,29,29
Spandau Ballet,29,29,29
Gary Numan,29,29,29
Bryan Adams,29,29,29
The Strokes,28,28,28
Culture Club,28,28,28
Gibson Brothers,28,28,28
Wolf Alice,28,28,28
The Mission,28,28,28
Shade Empire,28,28,28
Pet Shop Boys,28,28,28
The Black Keys,27,27,27
Archspire,27,27,27
Belzebubs,26,26,26
Patrick Hernandez,26,26,26
Johnny Cash,26,26,26
Vorna,26,26,26
The Human League,25,25,25
Sumo,25,25,25
Alice Cooper,25,25,25
The Damned,25,25,25
Zoé,24,24,24
Sabrina,24,24,24
Chris de Burgh,24,24,24
America,24,24,24
Soviet Soviet,23,23,23
José José,23,23,23
Nena,23,23,23
Nancy Sinatra,23,23,23
Eric Johnson,23,23,23
Liam Gallagher,23,23,23
Journey,23,23,23
The Turtles,23,23,23
The Outfield,23,23,23
Yes,23,23,23
Dan Hartman,23,23,23
Sam Fender,23,23,23
Eagles,22,22,22
Skids,22,22,22
Cyndi Lauper,22,22,22
Sting,22,22,22
Clan of Xymox,22,22,22
Metallica,22,22,22
Paolo Nutini,22,22,22
Wham!,22,22,22
Oingo Boingo,22,22,22
The Smashing Pumpkins,22,22,22
Mr. Mister,22,22,22
Grace Slick,22,22,22
Hawkwind,22,22,22
Lynyrd Skynyrd,22,22,22
Judas Priest,22,22,22
Amy Winehouse,22,22,22
The Waterboys,21,21,21
Madonna,21,21,21
Dead Or Alive,21,21,21
Digitalism,21,21,21
D-A-D,21,21,21
Lionel Richie,21,21,21
Foo Fighters,21,21,21
Def Leppard,20,20,20
Pretenders,20,20,20
Jan Hammer,20,20,20
ZZ Top,20,20,20
Night Ranger,20,20,20
Prince,20,20,20
Eddie Money,20,20,20
Jesse Green,20,20,20
The War On Drugs,20,20,20
Paramore,20,20,20
Iggy Pop,20,20,20
Cutting Crew,19,19,19
John Waite,19,19,19
Daryl Hall & John Oates,19,19,19
Beach House,19,19,19
Roxy Music,19,19,19
Status Quo,19,19,19
Corey Hart,19,19,19
Robert Palmer,19,19,19
Queens of the Stone Age,19,19,19
R.E.M.,19,19,19
Bee Gees,19,19,19
Santana,19,19,19
Molchat Doma,19,19,19
Modern Talking,19,19,19
The Beach Boys,19,19,19
Murray Head,19,19,19
The Mamas & The Papas,19,19,19
The Kooks,19,19,19
Cannibal Corpse,19,19,19
Pat Benatar,19,19,19
Norman Greenbaum,19,19,19
Dschinghis Khan,19,19,19
Go West,19,19,19
Mötley Crüe,19,19,19
Donna Summer,19,19,19
Equilibrium,18,18,18
Q Lazzarus,18,18,18
Tesla Boy,18,18,18
Berlin,18,18,18
Echo & the Bunnymen,18,18,18
Luis Miguel,18,18,18
Starship,18,18,18
Gene Loves Jezebel,18,18,18
Peter Schilling,18,18,18
Ultravox,18,18,18
Peter Murphy,18,18,18
beabadoobee,18,18,18
Whitesnake,18,18,18
Jim Steinman,18,18,18
Maximo Park,18,18,18
